Wall time,Step,Value
1761858116.9257593,587,609.0
1761858147.9747632,588,633.0
1761858178.5406513,589,641.0
1761858209.5150735,590,637.0
1761858240.8801847,591,621.0
1761858271.9115994,592,613.0
1761858302.9341784,593,641.0
1761858333.9095783,594,630.0
1761858364.626385,595,620.0
1761858395.720309,596,628.0
1761858428.253005,597,642.0
1761858459.5445483,598,654.0
1761858490.1672974,599,651.0
1761858520.9494083,600,628.0
1761858551.3229883,601,632.0
1761858582.3184414,602,653.0
1761858612.987196,603,625.0
1761858643.486234,604,625.0
1761858674.4580665,605,621.0
1761858705.3616621,606,648.0
1761858735.8658102,607,645.0
1761858766.4851077,608,642.0
1761858797.0587695,609,639.0
1761858827.6687093,610,607.0
1761858857.7620978,611,635.0
1761858888.5212631,612,612.0
1761858919.135617,613,630.0
1761858949.612657,614,644.0
1761858980.6106277,615,624.0
1761859011.5155194,616,639.0
1761859041.6649082,617,637.0
1761859072.0031476,618,643.0
1761859103.0397596,619,623.0
1761859133.65924,620,627.0
1761859164.2564769,621,650.0
1761859194.8838027,622,632.0
1761859225.787852,623,623.0
1761859256.2615407,624,616.0
1761859286.9251144,625,635.0
1761859317.50133,626,644.0
1761859348.26201,627,630.0
1761859378.9039462,628,632.0
1761859409.4870973,629,613.0
1761859440.7665098,630,617.0
1761859471.5357149,631,615.0
1761859502.3433561,632,625.0
1761859533.056169,633,647.0
1761859564.0594969,634,630.0
1761859594.5412734,635,630.0
1761859625.0697973,636,628.0
1761859655.371378,637,642.0
1761859685.7568293,638,655.0
1761859716.3701084,639,629.0
1761859747.2521398,640,628.0
1761859777.995633,641,634.0
1761859808.5768983,642,641.0
1761859839.3267539,643,628.0
1761859871.6616192,644,361.0
1761859902.3687463,645,660.0
1761859932.936242,646,652.0
1761859963.0352829,647,639.0
1761859993.558902,648,637.0
1761860024.291292,649,643.0
1761860055.2834296,650,641.0
1761860086.0720723,651,632.0
1761860116.7413423,652,632.0
1761860147.875092,653,630.0
1761860178.5525358,654,642.0
1761860209.4869773,655,645.0
1761860240.4314947,656,622.0
1761860271.112302,657,648.0
1761860302.1970396,658,630.0
1761860332.991541,659,648.0
1761860364.0143044,660,635.0
1761860394.6790829,661,620.0
1761860425.2228353,662,639.0
1761860456.1180327,663,635.0
1761860487.0959642,664,631.0
1761860517.3897579,665,663.0
1761860548.1084063,666,654.0
1761860578.8379366,667,610.0
1761860609.7674122,668,639.0
1761860640.7004738,669,630.0
1761860671.3647277,670,647.0
1761860701.7821138,671,639.0
1761860732.9471824,672,628.0
1761860763.8270864,673,629.0
1761860794.520787,674,628.0
1761860825.4337971,675,640.0
1761860855.692876,676,643.0
1761860885.9940243,677,626.0
1761860916.178619,678,637.0
1761860947.0887291,679,628.0
1761860978.079324,680,634.0
1761861008.8741663,681,623.0
1761861039.5214148,682,634.0
1761861070.158065,683,636.0
1761861101.1088068,684,640.0
1761861131.546952,685,613.0
1761861162.8656359,686,629.0
1761861193.1645622,687,646.0
1761861224.330365,688,624.0
1761861254.9648175,689,640.0
1761861285.853338,690,634.0
1761861316.7147424,691,635.0
1761861347.37165,692,643.0
1761861377.8261526,693,635.0
1761861408.2976303,694,632.0
1761861439.0115263,695,634.0
1761861469.817631,696,631.0
1761861500.3701587,697,636.0
1761861531.3356724,698,638.0
1761861561.9011788,699,649.0
1761861592.8322513,700,662.0
1761861623.8082721,701,640.0
1761861654.1049898,702,615.0
1761861685.0396707,703,627.0
1761861715.8933697,704,637.0
1761861746.7004964,705,646.0
1761861776.7289085,706,652.0
1761861807.8199809,707,616.0
1761861838.172804,708,658.0
1761861868.8520844,709,644.0
1761861899.0625365,710,636.0
1761861929.9265022,711,647.0
1761861960.4268272,712,651.0
1761861991.1157477,713,648.0
1761862021.9143786,714,641.0
1761862053.0960763,715,630.0
1761862083.4153733,716,666.0
1761862113.9672942,717,631.0
1761862144.861433,718,641.0
1761862176.2600951,719,615.0
1761862206.705053,720,634.0
1761862237.6263282,721,637.0
1761862268.4574142,722,633.0
1761862299.0101166,723,633.0
1761862329.7781725,724,622.0
1761862360.3761933,725,638.0
1761862391.128848,726,644.0
1761862422.0885332,727,638.0
1761862452.99778,728,648.0
1761862483.3880448,729,650.0
1761862514.0306733,730,643.0
1761862544.6176121,731,625.0
1761862575.2194476,732,635.0
1761862605.911071,733,623.0
1761862636.5652788,734,617.0
1761862667.3180068,735,622.0
1761862698.020277,736,629.0
1761862728.6809704,737,650.0
1761862759.1811655,738,649.0
1761862789.846866,739,627.0
1761862820.5080235,740,609.0
1761862851.1066294,741,662.0
1761862881.6121576,742,637.0
1761862911.9429266,743,642.0
1761862942.861897,744,642.0
1761862973.574917,745,635.0
1761863004.125408,746,625.0
1761863034.8901148,747,641.0
1761863065.944811,748,628.0
1761863096.699853,749,653.0
1761863127.845643,750,640.0
1761863158.752982,751,613.0
1761863189.3964598,752,648.0
1761863219.6513944,753,655.0
1761863250.153088,754,662.0
1761863280.6111658,755,648.0
1761863311.0035832,756,639.0
1761863341.9660778,757,614.0
1761863372.3794544,758,638.0
1761863402.5646462,759,638.0
1761863433.1852398,760,629.0
1761863463.4802203,761,643.0
1761863494.3467984,762,636.0
1761863524.7888849,763,630.0
1761863555.1126816,764,629.0
1761863585.5671515,765,654.0
1761863616.1142488,766,636.0
1761863646.83381,767,637.0
1761863677.1025596,768,630.0
1761863708.0566382,769,655.0
1761863738.8498852,770,628.0
1761863769.5059898,771,653.0
1761863800.1055532,772,650.0
1761863830.7879727,773,648.0
1761863861.955243,774,606.0
1761863892.653705,775,665.0
1761863923.4268208,776,634.0
1761863954.2853956,777,644.0
1761863984.771838,778,663.0
1761864015.291727,779,646.0
1761864046.0229685,780,672.0
1761864076.3154366,781,639.0
1761864107.5008197,782,655.0
1761864138.1270487,783,653.0
1761864168.413823,784,649.0
1761864199.3240137,785,640.0
1761864229.9807756,786,609.0
1761864260.66124,787,611.0
1761864291.3922281,788,639.0
1761864321.7673495,789,641.0
1761864352.3910816,790,657.0
1761864383.3881292,791,639.0
1761864414.238099,792,657.0
1761864445.8631303,793,669.0
1761864476.2913635,794,654.0
1761864506.9590018,795,653.0
1761864538.150941,796,653.0
1761864568.9799309,797,635.0
1761864599.553697,798,642.0
1761864630.2171764,799,607.0
1761864661.154913,800,628.0
